i,centro_x,centro_y,radio,color_r,color_g,color_b
173,294.5,6.5,2.26,111.0,111.0,111.0
174,298.5,6.5,2.26,111.0,111.0,111.0
175,302.5,6.5,2.26,110.0,110.0,110.0
176,306.5,6.5,2.26,112.0,112.0,112.0
177,310.5,6.5,2.26,114.0,114.0,114.0
178,314.5,6.5,2.26,115.0,115.0,115.0
179,318.5,6.5,2.26,113.0,113.0,113.0
180,322.5,6.5,2.26,112.0,112.0,112.0
181,326.5,6.5,2.26,113.0,113.0,113.0
182,330.5,6.5,2.26,108.0,108.0,108.0
183,334.5,6.5,2.26,109.0,109.0,109.0
184,338.5,6.5,2.26,114.0,114.0,114.0
185,342.5,6.5,2.26,114.0,114.0,114.0
186,346.5,6.5,2.26,121.0,121.0,121.0
187,350.5,6.5,2.26,119.0,119.0,119.0
188,354.5,6.5,2.26,120.0,120.0,120.0
189,358.5,6.5,2.26,120.0,120.0,120.0
190,362.5,6.5,2.26,120.0,120.0,120.0
191,366.5,6.5,2.26,121.0,121.0,121.0
192,370.5,6.5,2.26,121.0,121.0,121.0
193,374.5,6.5,2.26,121.0,121.0,121.0
194,378.5,6.5,2.26,124.0,124.0,124.0
195,382.5,6.5,2.26,122.0,122.0,122.0
196,386.5,6.5,2.26,122.0,122.0,122.0
197,390.5,6.5,2.26,119.0,119.0,119.0
198,394.5,6.5,2.26,123.0,123.0,123.0
199,398.5,6.5,2.26,124.0,124.0,124.0
200,402.0,6.5,1.95,128.0,128.0,128.0
201,130.61,10.22,2.39,214.0,214.0,214.0
202,134.5,10.0,2.52,226.0,226.0,226.0
203,2.0,10.5,2.52,106.0,106.0,106.0
204,6.5,10.5,2.26,101.0,101.0,101.0
205,10.5,10.5,2.26,108.0,108.0,108.0
206,14.5,10.5,2.26,108.0,108.0,108.0
207,18.5,10.5,2.26,109.0,109.0,109.0
208,22.5,10.5,2.26,101.0,101.0,101.0
209,26.5,10.5,2.26,100.0,100.0,100.0
210,30.5,10.5,2.26,100.0,100.0,100.0
211,34.5,10.5,2.26,101.0,101.0,101.0
212,38.5,10.5,2.26,99.0,99.0,99.0
213,42.5,10.5,2.26,102.0,102.0,102.0
214,46.5,10.5,2.26,103.0,103.0,103.0
215,50.5,10.5,2.26,101.0,101.0,101.0
216,54.5,10.5,2.26,100.0,100.0,100.0
217,58.5,10.5,2.26,102.0,102.0,102.0
218,62.5,10.5,2.26,101.0,101.0,101.0
219,66.5,10.5,2.26,100.0,100.0,100.0
220,70.5,10.5,2.26,108.0,108.0,108.0
221,74.5,10.5,2.26,106.0,106.0,106.0
222,78.5,10.5,2.26,109.0,109.0,109.0
223,82.5,10.5,2.26,105.0,105.0,105.0
224,86.5,10.5,2.26,103.0,103.0,103.0
225,90.5,10.5,2.26,105.0,105.0,105.0
226,94.5,10.5,2.26,100.0,100.0,100.0
227,98.5,10.5,2.26,97.0,97.0,97.0
228,102.5,10.5,2.26,100.0,100.0,100.0
229,106.5,10.5,2.26,96.0,96.0,96.0
230,110.47,10.65,2.33,94.0,94.0,94.0
231,114.4,10.4,2.19,91.0,91.0,91.0
232,118.21,10.29,2.11,117.0,117.0,117.0
233,126.75,10.92,1.95,202.0,202.0,202.0
234,138.5,10.5,2.26,232.0,232.0,232.0
235,142.5,10.5,2.26,234.0,234.0,234.0
236,146.5,10.5,2.26,234.0,234.0,234.0
237,150.5,10.5,2.26,231.0,231.0,231.0
238,154.5,10.5,2.26,229.0,229.0,229.0
239,158.5,10.5,2.26,232.0,232.0,232.0
240,162.5,10.5,2.26,230.0,230.0,230.0
241,166.5,10.5,2.26,232.0,232.0,232.0
242,170.5,10.5,2.26,236.0,236.0,236.0
243,174.5,10.5,2.26,235.0,235.0,235.0
244,178.5,10.5,2.26,236.0,236.0,236.0
245,182.5,10.5,2.26,231.0,231.0,231.0
246,186.5,10.5,2.26,228.0,228.0,228.0
247,190.5,10.5,2.26,235.0,235.0,235.0
248,194.5,10.5,2.26,236.0,236.0,236.0
249,198.5,10.5,2.26,223.0,223.0,223.0
250,202.78,10.61,2.39,194.0,194.0,194.0
251,206.86,10.43,2.11,136.0,136.0,136.0
252,210.5,10.5,2.26,145.0,145.0,145.0
253,214.5,10.5,2.26,154.0,154.0,154.0
254,218.5,10.5,2.26,176.0,176.0,176.0
255,222.5,10.5,2.26,179.0,179.0,179.0
256,230.6,10.4,2.19,125.0,125.0,125.0
257,234.58,10.89,2.46,120.0,120.0,120.0
258,238.5,10.5,2.26,108.0,108.0,108.0
259,242.5,10.5,2.26,108.0,108.0,108.0
260,246.5,10.5,2.26,108.0,108.0,108.0
261,250.5,10.5,2.26,110.0,110.0,110.0
262,254.5,10.5,2.26,107.0,107.0,107.0
263,258.5,10.5,2.26,108.0,108.0,108.0
264,262.5,10.5,2.26,109.0,109.0,109.0
265,266.5,10.5,2.26,109.0,109.0,109.0
266,270.5,10.5,2.26,106.0,106.0,106.0
267,274.5,10.5,2.26,103.0,103.0,103.0
268,278.5,10.5,2.26,104.0,104.0,104.0
269,282.5,10.5,2.26,108.0,108.0,108.0
270,286.5,10.5,2.26,113.0,113.0,113.0
271,290.5,10.5,2.26,110.0,110.0,110.0
272,294.5,10.5,2.26,113.0,113.0,113.0
273,298.5,10.5,2.26,115.0,115.0,115.0
274,302.5,10.5,2.26,113.0,113.0,113.0
275,306.5,10.5,2.26,112.0,112.0,112.0
276,310.5,10.5,2.26,111.0,111.0,111.0
277,314.5,10.5,2.26,116.0,116.0,116.0
278,318.5,10.5,2.26,117.0,117.0,117.0
279,322.5,10.5,2.26,111.0,111.0,111.0
280,326.5,10.5,2.26,115.0,115.0,115.0
281,330.5,10.5,2.26,105.0,105.0,105.0
282,334.5,10.5,2.26,113.0,113.0,113.0
283,338.5,10.5,2.26,118.0,118.0,118.0
284,342.5,10.5,2.26,116.0,116.0,116.0
285,346.5,10.5,2.26,120.0,120.0,120.0
286,350.5,10.5,2.26,121.0,121.0,121.0
287,354.5,10.5,2.26,117.0,117.0,117.0
288,358.5,10.5,2.26,118.0,118.0,118.0
289,362.5,10.5,2.26,119.0,119.0,119.0
290,366.5,10.5,2.26,118.0,118.0,118.0
291,370.5,10.5,2.26,120.0,120.0,120.0
292,374.5,10.5,2.26,118.0,118.0,118.0
293,378.5,10.5,2.26,119.0,119.0,119.0
294,382.5,10.5,2.26,120.0,120.0,120.0
295,386.5,10.5,2.26,120.0,120.0,120.0
296,390.5,10.5,2.26,116.0,116.0,116.0
297,394.5,10.5,2.26,122.0,122.0,122.0
298,398.5,10.5,2.26,124.0,124.0,124.0
299,402.0,10.5,1.95,122.0,122.0,122.0
300,122.78,10.44,1.69,145.0,145.0,145.0
301,226.91,10.91,1.87,167.0,167.0,167.0
302,118.58,14.11,2.46,208.0,208.0,208.0
303,122.5,14.0,2.52,220.0,220.0,220.0
304,206.38,14.44,2.26,196.0,196.0,196.0
305,226.39,14.22,2.39,217.0,217.0,217.0
306,2.0,14.5,2.52,101.0,101.0,101.0
307,6.5,14.5,2.26,103.0,103.0,103.0
308,10.5,14.5,2.26,105.0,105.0,105.0
309,14.5,14.5,2.26,106.0,106.0,106.0
310,18.5,14.5,2.26,109.0,109.0,109.0
311,22.5,14.5,2.26,103.0,103.0,103.0
312,26.5,14.5,2.26,104.0,104.0,104.0
313,30.5,14.5,2.26,100.0,100.0,100.0
314,34.5,14.5,2.26,101.0,101.0,101.0
315,38.5,14.5,2.26,101.0,101.0,101.0
316,42.5,14.5,2.26,102.0,102.0,102.0
317,46.5,14.5,2.26,101.0,101.0,101.0
318,50.5,14.5,2.26,103.0,103.0,103.0
319,54.5,14.5,2.26,104.0,104.0,104.0
320,58.5,14.5,2.26,101.0,101.0,101.0
321,62.5,14.5,2.26,101.0,101.0,101.0
322,66.5,14.5,2.26,100.0,100.0,100.0
323,70.5,14.5,2.26,109.0,109.0,109.0
324,74.5,14.5,2.26,109.0,109.0,109.0
325,78.5,14.5,2.26,109.0,109.0,109.0
326,82.5,14.5,2.26,107.0,107.0,107.0
