i,centro_x,centro_y,radio,color_r,color_g,color_b
236,345.5,15.5,3.39,255.0,255.0,255.0
237,351.5,15.5,3.39,255.0,255.0,255.0
238,357.5,15.5,3.39,255.0,255.0,255.0
239,363.5,15.5,3.39,255.0,255.0,255.0
240,369.5,15.5,3.39,255.0,255.0,255.0
241,375.5,15.5,3.39,255.0,255.0,255.0
242,381.5,15.5,3.39,255.0,255.0,255.0
243,387.5,15.5,3.39,255.0,255.0,255.0
244,393.5,15.5,3.39,255.0,255.0,255.0
245,399.5,15.5,3.39,255.0,255.0,255.0
246,405.5,15.5,3.39,255.0,255.0,255.0
247,411.5,15.5,3.39,255.0,255.0,255.0
248,417.5,15.5,3.39,255.0,255.0,255.0
249,423.5,15.5,3.39,255.0,255.0,255.0
250,429.5,15.5,3.39,255.0,255.0,255.0
251,435.5,15.5,3.39,255.0,255.0,255.0
252,441.5,15.5,3.39,255.0,255.0,255.0
253,447.5,15.5,3.39,255.0,255.0,255.0
254,453.5,15.5,3.39,255.0,255.0,255.0
255,459.5,15.5,3.39,255.0,255.0,255.0
256,465.5,15.5,3.39,255.0,255.0,255.0
257,471.5,15.5,3.39,255.0,255.0,255.0
258,477.5,15.5,3.39,255.0,255.0,255.0
259,483.5,15.5,3.39,255.0,255.0,255.0
260,489.5,15.5,3.39,255.0,255.0,255.0
261,495.5,15.5,3.39,255.0,255.0,255.0
262,501.5,15.5,3.39,255.0,255.0,255.0
263,507.5,15.5,3.39,255.0,255.0,255.0
264,513.5,15.5,3.39,255.0,255.0,255.0
265,519.5,15.5,3.39,255.0,255.0,255.0
266,525.5,15.5,3.39,255.0,255.0,255.0
267,531.5,15.5,3.39,255.0,255.0,255.0
268,537.5,15.5,3.39,255.0,255.0,255.0
269,543.5,15.5,3.39,255.0,255.0,255.0
270,549.5,15.5,3.39,255.0,255.0,255.0
271,555.5,15.5,3.39,255.0,255.0,255.0
272,560.5,15.5,2.76,255.0,255.0,255.0
273,259.78,15.65,4.18,236.0,194.0,193.0
274,283.37,16.23,3.34,186.0,86.0,84.0
275,294.38,17.24,2.59,180.0,84.0,84.0
276,261.6,20.15,3.57,194.0,52.0,49.0
277,267.5,20.0,3.66,194.0,49.0,45.0
278,273.5,20.0,3.66,196.0,48.0,44.0
279,255.35,21.21,3.7,192.0,56.0,51.0
280,279.44,21.07,3.61,197.0,42.0,39.0
281,285.44,21.07,3.61,203.0,41.0,41.0
282,291.26,20.65,3.29,198.0,45.0,44.0
283,3.0,21.5,3.66,255.0,255.0,255.0
284,9.5,21.5,3.39,255.0,255.0,255.0
285,15.5,21.5,3.39,255.0,255.0,255.0
286,21.5,21.5,3.39,255.0,255.0,255.0
287,27.5,21.5,3.39,255.0,255.0,255.0
288,33.5,21.5,3.39,255.0,255.0,255.0
289,39.5,21.5,3.39,255.0,255.0,255.0
290,45.5,21.5,3.39,255.0,255.0,255.0
291,51.5,21.5,3.39,255.0,255.0,255.0
292,57.5,21.5,3.39,255.0,255.0,255.0
293,63.5,21.5,3.39,255.0,255.0,255.0
294,69.5,21.5,3.39,255.0,255.0,255.0
295,75.5,21.5,3.39,255.0,255.0,255.0
296,81.5,21.5,3.39,255.0,255.0,255.0
297,87.5,21.5,3.39,255.0,255.0,255.0
298,93.5,21.5,3.39,255.0,255.0,255.0
299,99.5,21.5,3.39,255.0,255.0,255.0
300,105.5,21.5,3.39,255.0,255.0,255.0
301,111.5,21.5,3.39,255.0,255.0,255.0
302,117.5,21.5,3.39,255.0,255.0,255.0
303,123.5,21.5,3.39,255.0,255.0,255.0
304,129.5,21.5,3.39,255.0,255.0,255.0
305,135.5,21.5,3.39,255.0,255.0,255.0
306,141.5,21.5,3.39,255.0,255.0,255.0
307,147.5,21.5,3.39,255.0,255.0,255.0
308,153.5,21.5,3.39,255.0,255.0,255.0
309,159.5,21.5,3.39,255.0,255.0,255.0
310,165.5,21.5,3.39,255.0,255.0,255.0
311,171.5,21.5,3.39,255.0,255.0,255.0
312,177.5,21.5,3.39,255.0,255.0,255.0
313,183.5,21.5,3.39,255.0,255.0,255.0
314,189.5,21.5,3.39,255.0,255.0,255.0
315,195.5,21.5,3.39,255.0,255.0,255.0
316,201.5,21.5,3.39,255.0,255.0,255.0
317,207.5,21.5,3.39,255.0,255.0,255.0
318,213.5,21.5,3.39,255.0,255.0,255.0
319,219.5,21.5,3.39,253.0,254.0,253.0
320,225.5,21.5,3.39,253.0,253.0,251.0
321,231.47,22.27,3.78,248.0,250.0,247.0
322,239.24,21.43,4.03,232.0,206.0,202.0
323,248.82,21.46,2.99,195.0,65.0,68.0
324,297.43,21.57,3.34,199.0,45.0,45.0
325,303.42,21.67,3.39,192.0,52.0,58.0
326,309.7,21.35,2.52,186.0,98.0,103.0
327,321.67,21.79,3.52,250.0,249.0,245.0
328,327.56,21.93,3.61,251.0,253.0,251.0
329,333.5,21.5,3.39,253.0,254.0,254.0
330,339.5,21.5,3.39,254.0,254.0,254.0
331,345.5,21.5,3.39,254.0,254.0,254.0
332,351.5,21.5,3.39,255.0,255.0,255.0
333,357.5,21.5,3.39,255.0,255.0,255.0
334,363.5,21.5,3.39,255.0,255.0,255.0
335,369.5,21.5,3.39,255.0,255.0,255.0
336,375.5,21.5,3.39,255.0,255.0,255.0
337,381.5,21.5,3.39,255.0,255.0,255.0
338,387.5,21.5,3.39,255.0,255.0,255.0
339,393.5,21.5,3.39,255.0,255.0,255.0
340,399.5,21.5,3.39,255.0,255.0,255.0
341,405.5,21.5,3.39,255.0,255.0,255.0
342,411.5,21.5,3.39,255.0,255.0,255.0
343,417.5,21.5,3.39,255.0,255.0,255.0
344,423.5,21.5,3.39,255.0,255.0,255.0
345,429.5,21.5,3.39,255.0,255.0,255.0
346,435.5,21.5,3.39,255.0,255.0,255.0
347,441.5,21.5,3.39,255.0,255.0,255.0
348,447.5,21.5,3.39,255.0,255.0,255.0
349,453.5,21.5,3.39,255.0,255.0,255.0
350,459.5,21.5,3.39,255.0,255.0,255.0
351,465.5,21.5,3.39,255.0,255.0,255.0
352,471.5,21.5,3.39,255.0,255.0,255.0
353,477.5,21.5,3.39,255.0,255.0,255.0
354,483.5,21.5,3.39,255.0,255.0,255.0
355,489.5,21.5,3.39,255.0,255.0,255.0
356,495.5,21.5,3.39,255.0,255.0,255.0
357,501.5,21.5,3.39,255.0,255.0,255.0
358,507.5,21.5,3.39,255.0,255.0,255.0
359,513.5,21.5,3.39,255.0,255.0,255.0
360,519.5,21.5,3.39,255.0,255.0,255.0
361,525.5,21.5,3.39,255.0,255.0,255.0
362,531.5,21.5,3.39,255.0,255.0,255.0
363,537.5,21.5,3.39,255.0,255.0,255.0
364,543.5,21.5,3.39,255.0,255.0,255.0
365,549.5,21.5,3.39,255.0,255.0,255.0
366,555.5,21.5,3.39,255.0,255.0,255.0
367,560.5,21.5,2.76,255.0,255.0,255.0
368,315.8,21.52,2.82,243.0,220.0,219.0
369,243.51,26.91,3.7,198.0,50.0,49.0
370,309.63,26.03,3.48,199.0,42.0,46.0
371,237.34,27.63,3.48,196.0,58.0,59.0
372,249.56,27.07,3.61,198.0,47.0,40.0
373,261.5,27.0,3.66,202.0,43.0,42.0
374,267.5,26.5,3.39,196.0,44.0,39.0
375,273.45,26.68,3.48,197.0,43.0,39.0
376,291.5,27.0,3.66,195.0,37.0,35.0
377,315.7,27.3,3.7,197.0,50.0,53.0
378,3.0,27.5,3.66,255.0,255.0,255.0
379,9.5,27.5,3.39,255.0,255.0,255.0
380,15.5,27.5,3.39,255.0,255.0,255.0
381,21.5,27.5,3.39,255.0,255.0,255.0
382,27.5,27.5,3.39,255.0,255.0,255.0
383,33.5,27.5,3.39,255.0,255.0,255.0
384,39.5,27.5,3.39,255.0,255.0,255.0
385,45.5,27.5,3.39,255.0,255.0,255.0
386,51.5,27.5,3.39,255.0,255.0,255.0
387,57.5,27.5,3.39,255.0,255.0,255.0
388,63.5,27.5,3.39,255.0,255.0,255.0
389,69.5,27.5,3.39,255.0,255.0,255.0
390,75.5,27.5,3.39,255.0,255.0,255.0
391,81.5,27.5,3.39,255.0,255.0,255.0
392,87.5,27.5,3.39,255.0,255.0,255.0
393,93.5,27.5,3.39,255.0,255.0,255.0
394,99.5,27.5,3.39,255.0,255.0,255.0
395,105.5,27.5,3.39,255.0,255.0,255.0
396,111.5,27.5,3.39,255.0,255.0,255.0
397,117.5,27.5,3.39,255.0,255.0,255.0
398,123.5,27.5,3.39,255.0,255.0,255.0
399,129.5,27.5,3.39,255.0,255.0,255.0
400,135.5,27.5,3.39,255.0,255.0,255.0
401,141.5,27.5,3.39,255.0,255.0,255.0
402,147.5,27.5,3.39,255.0,255.0,255.0
403,153.5,27.5,3.39,255.0,255.0,255.0
404,159.5,27.5,3.39,255.0,255.0,255.0
405,165.5,27.5,3.39,255.0,255.0,255.0
406,171.5,27.5,3.39,255.0,255.0,255.0
407,177.5,27.5,3.39,255.0,255.0,255.0
408,183.5,27.5,3.39,255.0,255.0,255.0
409,189.5,27.5,3.39,255.0,255.0,255.0
410,195.5,27.5,3.39,255.0,255.0,255.0
411,201.5,27.5,3.39,255.0,255.0,255.0
412,207.5,27.5,3.39,254.0,255.0,254.0
413,213.5,28.0,3.66,253.0,254.0,254.0
414,219.62,28.36,3.87,252.0,252.0,251.0
415,227.43,27.38,4.11,236.0,210.0,205.0
416,255.5,27.5,3.39,199.0,47.0,42.0
417,279.5,28.05,3.66,196.0,39.0,34.0
418,285.62,27.77,3.52,194.0,40.0,33.0
419,297.5,27.5,3.39,197.0,35.0,30.0
420,303.68,27.55,3.48,201.0,34.0,36.0
421,321.88,27.54,2.76,179.0,88.0,88.0
422,327.08,27.54,2.88,243.0,218.0,217.0
423,333.31,28.19,3.91,251.0,249.0,247.0
424,339.5,27.5,3.39,253.0,252.0,253.0
